Target Distance: 50 , Step Size: 2
301: (x,y) = (-8.4341, 5.66817)
302: (x,y) = (-7.12198, 4.15875)
303: (x,y) = (-6.74036, 2.19549)
304: (x,y) = (-8.60753, 2.91223)
305: (x,y) = (-10.2656, 1.79384)
306: (x,y) = (-11.3254, 3.48994)
307: (x,y) = (-12.611, 5.02203)
308: (x,y) = (-13.2622, 6.91306)
309: (x,y) = (-15.1415, 7.59711)
310: (x,y) = (-16.5309, 6.15843)
311: (x,y) = (-15.6229, 7.94044)
312: (x,y) = (-15.2756, 9.91005)
313: (x,y) = (-13.7893, 8.57179)
314: (x,y) = (-14.9649, 6.95376)
315: (x,y) = (-13.0016, 7.33538)
316: (x,y) = (-14.2329, 8.9114)
317: (x,y) = (-15.5969, 7.44869)
318: (x,y) = (-17.488, 6.79755)
319: (x,y) = (-18.2694, 4.95655)
320: (x,y) = (-20.1605, 5.60768)
321: (x,y) = (-22.1495, 5.39862)
322: (x,y) = (-22.2542, 3.40137)
323: (x,y) = (-21.603, 5.2924)
324: (x,y) = (-20.6951, 7.07442)
325: (x,y) = (-20.2452, 9.02316)
326: (x,y) = (-18.3226, 9.57443)
327: (x,y) = (-19.8547, 8.28886)
328: (x,y) = (-18.4907, 9.75156)
329: (x,y) = (-17.2321, 11.3059)
330: (x,y) = (-18.3214, 12.9832)
331: (x,y) = (-19.8757, 11.7246)
332: (x,y) = (-18.4863, 10.2859)
333: (x,y) = (-20.4836, 10.3905)
334: (x,y) = (-18.9293, 11.6492)
335: (x,y) = (-18.5135, 13.6055)
336: (x,y) = (-20.3545, 12.824)
337: (x,y) = (-21.4438, 11.1467)
338: (x,y) = (-19.4514, 10.9724)
339: (x,y) = (-20.9141, 12.3364)
340: (x,y) = (-18.9508, 12.718)
341: (x,y) = (-20.9399, 12.927)
342: (x,y) = (-18.9993, 13.4109)
343: (x,y) = (-19.5169, 11.479)
344: (x,y) = (-21.4575, 10.9952)
345: (x,y) = (-20.5808, 12.7928)
346: (x,y) = (-21.2319, 10.9017)
347: (x,y) = (-19.2331, 10.8319)
348: (x,y) = (-19.1982, 12.8316)
349: (x,y) = (-20.6609, 11.4676)
350: (x,y) = (-18.7384, 12.0189)
351: (x,y) = (-20.3357, 10.8153)
352: (x,y) = (-22.3345, 10.7455)
353: (x,y) = (-23.51, 9.12745)
354: (x,y) = (-25.4951, 8.88371)
355: (x,y) = (-24.2365, 7.32942)
356: (x,y) = (-22.4094, 6.51595)
357: (x,y) = (-20.9231, 7.85421)
358: (x,y) = (-22.2087, 6.32212)
359: (x,y) = (-21.5246, 8.2015)
360: (x,y) = (-22.1427, 6.29939)
361: (x,y) = (-23.2898, 4.66109)
362: (x,y) = (-22.1142, 3.04305)
363: (x,y) = (-20.3167, 3.9198)
364: (x,y) = (-21.0981, 2.07879)
365: (x,y) = (-22.3837, 3.61087)
366: (x,y) = (-20.3864, 3.71555)
367: (x,y) = (-20.3864, 1.71555)
368: (x,y) = (-18.3941, 1.88986)
369: (x,y) = (-18.6378, -0.0952343)
370: (x,y) = (-18.4635, -2.08762)
371: (x,y) = (-19.2127, -3.94199)
372: (x,y) = (-19.9294, -5.80915)
373: (x,y) = (-18.0384, -6.46029)
374: (x,y) = (-17.4536, -4.54768)
375: (x,y) = (-16.4536, -6.27973)
376: (x,y) = (-16.4886, -8.27943)
377: (x,y) = (-14.9565, -9.565)
378: (x,y) = (-13.3182, -8.41785)
379: (x,y) = (-13.9029, -6.50524)
380: (x,y) = (-12.6443, -8.05953)
381: (x,y) = (-10.9862, -9.17792)
382: (x,y) = (-9.89691, -7.50057)
383: (x,y) = (-8.09932, -6.62383)
384: (x,y) = (-9.51353, -5.20962)
385: (x,y) = (-9.96343, -7.15836)
386: (x,y) = (-11.944, -6.88001)
387: (x,y) = (-10.0314, -7.46476)
388: (x,y) = (-8.43409, -6.26113)
389: (x,y) = (-10.4341, -6.26113)
390: (x,y) = (-10.3992, -8.26082)
391: (x,y) = (-11.8379, -6.8715)
392: (x,y) = (-9.92526, -7.45625)
393: (x,y) = (-11.0436, -9.11432)
394: (x,y) = (-11.1483, -7.11706)
395: (x,y) = (-13.0394, -7.7682)
396: (x,y) = (-11.9795, -6.0721)
397: (x,y) = (-10.8902, -4.39476)
398: (x,y) = (-12.8753, -4.6385)
399: (x,y) = (-14.134, -3.08421)
400: (x,y) = (-14.9474, -4.9113)
401: (x,y) = (-13.9174, -6.62564)
402: (x,y) = (-13.0094, -4.84362)
403: (x,y) = (-15.0066, -4.94829)
404: (x,y) = (-17.0039, -5.05297)
405: (x,y) = (-15.0088, -5.19248)
406: (x,y) = (-16.4951, -3.85422)
407: (x,y) = (-17.6987, -2.25695)
408: (x,y) = (-16.1893, -0.944829)
409: (x,y) = (-14.9856, 0.652442)
410: (x,y) = (-13.3276, 1.77083)
411: (x,y) = (-11.4604, 1.05409)
412: (x,y) = (-9.78307, 2.14337)
413: (x,y) = (-11.4011, 0.9678)
414: (x,y) = (-12.2146, 2.79489)
415: (x,y) = (-13.4182, 1.19762)
416: (x,y) = (-13.9695, 3.12014)
417: (x,y) = (-14.7187, 1.26578)
418: (x,y) = (-16.4507, 2.26578)
419: (x,y) = (-14.4535, 2.1611)
420: (x,y) = (-12.4547, 2.0913)
421: (x,y) = (-11.4246, 3.80564)
422: (x,y) = (-12.3636, 2.03974)
423: (x,y) = (-10.4842, 2.72378)
424: (x,y) = (-8.6866, 1.84704)
425: (x,y) = (-8.65169, -0.152654)
426: (x,y) = (-10.3837, -1.15265)
427: (x,y) = (-9.6997, -3.03204)
428: (x,y) = (-9.52539, -5.02443)
429: (x,y) = (-8.37824, -3.38612)
430: (x,y) = (-10.3734, -3.52564)
431: (x,y) = (-8.65903, -2.49556)
432: (x,y) = (-7.68941, -0.746322)
433: (x,y) = (-5.7768, -1.33107)
434: (x,y) = (-5.7419, 0.66863)
435: (x,y) = (-7.22819, -0.669631)
436: (x,y) = (-5.61015, -1.8452)
437: (x,y) = (-4.37883, -0.26918)
438: (x,y) = (-2.82454, -1.52782)
439: (x,y) = (-2.96405, 0.467307)
440: (x,y) = (-4.95309, 0.676364)
441: (x,y) = (-2.97772, 0.363495)
442: (x,y) = (-4.74361, 1.30244)
443: (x,y) = (-6.66614, 1.85371)
444: (x,y) = (-4.74361, 2.40499)
445: (x,y) = (-3.51229, 3.98101)
446: (x,y) = (-1.74639, 3.04207)
447: (x,y) = (-0.408134, 1.55578)
448: (x,y) = (-0.338335, 3.55456)
449: (x,y) = (-2.1927, 4.30377)
450: (x,y) = (-4.14144, 3.85387)
451: (x,y) = (-2.20959, 4.37151)
452: (x,y) = (-0.723301, 5.70977)
453: (x,y) = (-1.40734, 7.58915)
454: (x,y) = (-2.66598, 6.03486)
455: (x,y) = (-2.35311, 8.01024)
456: (x,y) = (-4.1507, 8.88698)
457: (x,y) = (-5.23998, 10.5643)
458: (x,y) = (-5.85801, 12.4664)
459: (x,y) = (-4.85801, 14.1985)
460: (x,y) = (-4.30674, 16.121)
461: (x,y) = (-2.31161, 16.2605)
462: (x,y) = (-0.947614, 14.7978)
463: (x,y) = (0.865002, 15.6431)
464: (x,y) = (1.865, 13.911)
465: (x,y) = (2.61421, 12.0566)
466: (x,y) = (0.84832, 12.9956)
467: (x,y) = (-0.298833, 14.6339)
468: (x,y) = (-2.29761, 14.7037)
469: (x,y) = (-1.84771, 16.6524)
470: (x,y) = (0.0544003, 16.0344)
471: (x,y) = (-1.88619, 15.5505)
472: (x,y) = (-3.87128, 15.3068)
473: (x,y) = (-3.52399, 17.2764)
474: (x,y) = (-4.20803, 19.1558)
475: (x,y) = (-2.23265, 18.8429)
476: (x,y) = (-0.320041, 19.4277)
477: (x,y) = (-1.40932, 21.105)
478: (x,y) = (-2.37894, 22.8543)
479: (x,y) = (-4.36798, 23.0633)
480: (x,y) = (-2.65365, 22.0332)
481: (x,y) = (-3.99191, 20.5469)
482: (x,y) = (-5.89402, 19.9289)
483: (x,y) = (-5.37638, 17.9971)
484: (x,y) = (-5.13265, 19.9822)
485: (x,y) = (-6.84698, 21.0122)
486: (x,y) = (-5.33756, 19.7001)
487: (x,y) = (-3.36218, 19.3872)
488: (x,y) = (-1.61294, 18.4176)
489: (x,y) = (-2.06285, 16.4689)
490: (x,y) = (-3.06285, 18.2009)
491: (x,y) = (-4.61714, 16.9423)
492: (x,y) = (-6.34919, 17.9423)
493: (x,y) = (-7.37927, 16.228)
494: (x,y) = (-9.23363, 16.9772)
495: (x,y) = (-11.1462, 16.3924)
496: (x,y) = (-12.1159, 14.6432)
497: (x,y) = (-10.1596, 15.059)
498: (x,y) = (-11.669, 13.7469)
499: (x,y) = (-12.287, 11.8448)
500: (x,y) = (-11.379, 13.6268)
501: (x,y) = (-12.9333, 14.8854)
502: (x,y) = (-12.7938, 12.8903)
503: (x,y) = (-14.1321, 14.3766)
504: (x,y) = (-15.9992, 13.6599)
505: (x,y) = (-17.7968, 12.7831)
506: (x,y) = (-19.3062, 14.0952)
507: (x,y) = (-19.6535, 16.0649)
508: (x,y) = (-21.3679, 15.0348)
509: (x,y) = (-22.2446, 16.8324)
510: (x,y) = (-21.3366, 15.0504)
511: (x,y) = (-21.0929, 17.0354)
512: (x,y) = (-21.6776, 15.1228)
513: (x,y) = (-21.2618, 13.1665)
514: (x,y) = (-22.7939, 11.881)
515: (x,y) = (-24.6611, 12.5977)
516: (x,y) = (-25.3778, 14.4649)
517: (x,y) = (-26.4376, 16.161)
518: (x,y) = (-28.0557, 14.9854)
519: (x,y) = (-30.0545, 14.9156)
520: (x,y) = (-31.6725, 13.74)
521: (x,y) = (-29.6728, 13.7749)
522: (x,y) = (-27.8457, 14.5884)
523: (x,y) = (-29.077, 13.0124)
524: (x,y) = (-30.9442, 12.2956)
525: (x,y) = (-32.7101, 13.2346)
526: (x,y) = (-30.7101, 13.2346)
527: (x,y) = (-29.68, 11.5202)
528: (x,y) = (-31.6797, 11.4853)
529: (x,y) = (-29.8671, 12.3306)
530: (x,y) = (-29.7276, 14.3257)
531: (x,y) = (-29.2099, 16.2576)
532: (x,y) = (-27.2148, 16.118)
533: (x,y) = (-26.5637, 18.0091)
534: (x,y) = (-28.5637, 18.0091)
535: (x,y) = (-26.6231, 17.5252)
536: (x,y) = (-27.1069, 15.5846)
537: (x,y) = (-28.9741, 14.8679)
538: (x,y) = (-28.1289, 13.0553)
539: (x,y) = (-29.4671, 11.569)
540: (x,y) = (-31.4159, 12.0189)
541: (x,y) = (-32.8545, 10.6296)
542: (x,y) = (-32.9243, 8.63081)
543: (x,y) = (-30.949, 8.31794)
544: (x,y) = (-31.0536, 6.32068)
545: (x,y) = (-31.7704, 8.18784)
546: (x,y) = (-32.6471, 9.98543)
547: (x,y) = (-31.0088, 8.83828)
548: (x,y) = (-33.0061, 8.73361)
549: (x,y) = (-33.5573, 10.6561)
550: (x,y) = (-31.5941, 10.2745)
551: (x,y) = (-29.7397, 11.0237)
552: (x,y) = (-31.6523, 11.6085)
553: (x,y) = (-30.166, 12.9467)
554: (x,y) = (-31.8434, 14.036)
555: (x,y) = (-33.3755, 15.3216)
556: (x,y) = (-31.4436, 14.8039)
557: (x,y) = (-29.4585, 14.5602)
558: (x,y) = (-30.8478, 15.9989)
559: (x,y) = (-32.262, 17.4131)
560: (x,y) = (-31.9148, 15.4435)
561: (x,y) = (-31.038, 17.2411)
562: (x,y) = (-29.8624, 18.8591)
563: (x,y) = (-27.9603, 19.4771)
564: (x,y) = (-27.9254, 21.4768)
565: (x,y) = (-29.9227, 21.5815)
566: (x,y) = (-30.5407, 23.4836)
567: (x,y) = (-31.8263, 21.9515)
568: (x,y) = (-32.3101, 20.0109)
569: (x,y) = (-34.0422, 19.0109)
570: (x,y) = (-33.7984, 20.996)
571: (x,y) = (-31.8497, 21.4459)
572: (x,y) = (-33.3591, 20.1338)
573: (x,y) = (-31.3594, 20.0989)
574: (x,y) = (-32.0762, 21.9661)
575: (x,y) = (-32.2157, 19.9709)
576: (x,y) = (-30.777, 18.5816)
577: (x,y) = (-32.2864, 19.8937)
578: (x,y) = (-31.2563, 18.1794)
579: (x,y) = (-32.719, 16.8154)
580: (x,y) = (-32.719, 18.8154)
581: (x,y) = (-31.8423, 17.0178)
582: (x,y) = (-30.0603, 17.9258)
583: (x,y) = (-28.0606, 17.8909)
584: (x,y) = (-26.263, 18.7676)
585: (x,y) = (-24.6247, 17.6205)
586: (x,y) = (-25.3414, 15.7533)
587: (x,y) = (-27.0188, 14.6641)
588: (x,y) = (-26.9141, 16.6613)
589: (x,y) = (-27.8837, 18.4106)
590: (x,y) = (-28.0928, 20.3996)
591: (x,y) = (-29.1821, 18.7223)
592: (x,y) = (-29.5979, 16.766)
593: (x,y) = (-31.5204, 16.2147)
594: (x,y) = (-31.9362, 14.2584)
595: (x,y) = (-30.0044, 13.7408)
596: (x,y) = (-31.9362, 14.2584)
597: (x,y) = (-33.9362, 14.2584)
598: (x,y) = (-34.521, 16.171)
599: (x,y) = (-33.9697, 14.2485)
600: (x,y) = (-32.4603, 15.5606)
601: (x,y) = (-31.122, 14.0743)
602: (x,y) = (-32.1819, 12.3782)
603: (x,y) = (-30.25, 11.8606)
604: (x,y) = (-30.6316, 13.8238)
605: (x,y) = (-31.3808, 11.9695)
606: (x,y) = (-30.965, 10.0132)
607: (x,y) = (-32.9456, 9.73482)
608: (x,y) = (-33.9152, 7.98558)
609: (x,y) = (-32.2008, 9.01565)
610: (x,y) = (-32.9823, 7.17464)
611: (x,y) = (-34.4686, 5.83638)
612: (x,y) = (-33.4088, 7.53248)
613: (x,y) = (-32.9929, 5.57618)
614: (x,y) = (-31.0366, 5.99201)
615: (x,y) = (-30.3855, 4.10097)
616: (x,y) = (-29.0999, 2.56888)
617: (x,y) = (-27.1002, 2.60378)
618: (x,y) = (-27.4818, 0.64053)
619: (x,y) = (-29.2945, -0.204706)
620: (x,y) = (-28.481, 1.62238)
621: (x,y) = (-27.9634, -0.309467)
622: (x,y) = (-29.7126, 0.660152)
623: (x,y) = (-30.6206, 2.44217)
624: (x,y) = (-30.3422, 4.4227)
625: (x,y) = (-29.0836, 5.97699)
626: (x,y) = (-29.9603, 4.17941)
627: (x,y) = (-30.2041, 6.1645)
628: (x,y) = (-31.2639, 7.86059)
629: (x,y) = (-30.951, 5.88522)
630: (x,y) = (-32.8304, 5.20118)
631: (x,y) = (-30.951, 4.51714)
632: (x,y) = (-29.4647, 5.8554)
633: (x,y) = (-31.3873, 6.40667)
634: (x,y) = (-32.3873, 4.67462)
635: (x,y) = (-34.3845, 4.56995)
636: (x,y) = (-33.5393, 2.75733)
637: (x,y) = (-32.5092, 4.47167)
638: (x,y) = (-33.4482, 6.23756)
639: (x,y) = (-35.4235, 5.92469)
